HYBAS_ID,P_mm_yr,ET_mm_yr,runoff_mm_yr,T_degC,GWS_mm,region,SUB_AREA_km2,relief_m,mainstem_km,gradient_m_per_km
1060011030,1072.4679,894.6434,75.79943,27.10995,1001.94135,af,2768.1,229.0,89.82,2.54954353150746
1060011120,1160.2235,1102.5918,78.1106,26.392723,1662.0985,af,10247.3,1271.0,277.01000000000016,4.588282011479726
1060011130,1043.5863,975.018,62.64469,26.352955,1481.7307,af,3171.1,225.0,108.0,2.083333333333333
1060011180,1171.5088,1102.2395,107.73764,24.948946,1603.0585,af,14851.8,1644.0,377.76999999999975,4.3518543028827095
1060011190,1175.7501,1115.0253,95.467575,25.33565,1455.6877,af,28848.2,1530.0,185.19000000000003,8.261785193584965
1060011420,1261.6742,1171.6616,180.26532,23.866655,1500.3683,af,23076.1,2210.0,359.71999999999986,6.143667296786392
1060011430,1159.961,983.8896,172.5469,25.668196,756.79626,af,3904.2,411.0,158.56,2.5920787083753782
1060011500,1105.3623,1035.1073,179.23668,25.190855,779.2686,af,19105.4,1993.0,337.84999999999974,5.8990676335651955
1060011510,1134.2612,908.1551,294.55594,25.501007,742.5542,af,409.9,26.0,21.53,1.2076172782164423
1060011530,1043.6617,865.60834,296.47684,25.485334,722.26514,af,4421.4,30.0,139.32,0.2153316106804479
1060011660,926.5475,859.0896,174.71494,26.088196,701.1784,af,11174.1,604.0,195.14,3.0952136927334233
1060011670,1105.7593,985.89276,197.55138,25.134056,562.9533,af,17621.7,386.0,171.22,2.2544095315967763
1060011960,1109.8989,896.573,351.99728,25.32533,736.22943,af,322.6,80.0,28.33,2.823861630780092
1060011970,1071.5504,927.0215,249.92172,25.417156,571.7374,af,1002.6,122.0,74.60999999999997,1.6351695483179205
1060012020,912.544,847.36255,124.790436,22.988499,1148.2837,af,28572.9,2431.0,405.58000000000015,5.993885300064104
1060012030,903.55164,783.04694,134.09343,25.38918,479.5462,af,16795.7,434.0,241.89,1.7942039770143456
1060012210,701.245,620.85834,120.908424,25.363686,602.1252,af,17760.2,496.0,353.95000000000016,1.4013278711682433
1060012220,805.1305,646.2431,87.01932,24.621489,395.93292,af,24517.8,233.0,265.72,0.8768628631642331
1060012540,741.6962,667.34125,102.61128,25.148811,453.25323,af,19903.9,239.0,472.34999999999985,0.5059807346247488
1060012550,872.0861,656.8721,119.175385,24.394173,434.30362,af,3159.8,162.0,62.04000000000002,2.611218568665376
1060012590,841.6091,643.4731,141.01657,24.406075,588.82544,af,2666.7,266.0,96.91,2.7448147765968423
1060012600,886.39056,629.62195,110.112305,23.967299,360.11847,af,772.3,128.0,20.51,6.240858117991222
1060012680,786.1825,545.6384,101.447075,24.820995,554.8355,af,3277.2,149.0,127.51999999999998,1.1684441656210791
1060012690,751.51666,579.33405,69.63904,23.287525,529.74396,af,10344.3,1833.0,245.04,7.480411361410383
1060012810,749.788,574.3995,104.93962,23.724804,547.3635,af,842.0,190.0,70.81,2.6832368309560795
1060012820,827.6088,685.90155,94.32372,21.27777,700.3465,af,29845.0,1716.0,374.38999999999993,4.583455754694302
1060013070,842.14484,691.8818,56.12561,17.961702,1132.863,af,29195.5,3453.0,488.29000000000013,7.071617276618401
1060013080,887.10846,836.03143,96.1879,19.08809,1038.7421,af,4351.2,1594.0,185.64,8.586511527688
1060013200,870.78284,852.2468,88.77747,18.176416,1324.9897,af,4474.4,2064.0,207.46,9.948905813168805
1060013210,903.4625,843.2478,138.09912,17.860832,975.99884,af,9562.3,3388.0,245.79999999999995,13.783563873067534
1060013420,904.1838,813.3437,59.940037,16.685251,954.5182,af,6733.8,3286.0,279.92,11.739068305230065
1060013430,975.6675,760.34924,77.47399,18.226908,929.4857,af,5980.2,2259.0,134.45,16.80178505020454
1060013640,876.06635,646.3404,37.51633,16.259289,816.9138,af,19902.8,2974.0,404.96,7.343935203476888
1060013650,969.3314,677.8416,37.586258,18.425856,775.7471,af,5550.2,1743.0,169.93000000000004,10.257164714882595
1060013820,872.89484,634.1331,21.999174,17.883608,768.0461,af,6098.0,2279.0,265.8900000000001,8.571213659784117
1060013830,898.9867,751.40137,30.59926,18.543392,1072.1641,af,2631.3,1022.0,73.36000000000001,13.931297709923664
1060013950,738.98096,599.69727,22.083097,16.898863,725.6376,af,20521.7,2497.0,469.4500000000001,5.318990307807008
1060013960,723.433,627.3352,29.18535,18.732336,649.99646,af,7998.0,1918.0,209.04000000000005,9.175277458859547
1060014220,636.57104,575.9016,31.436857,18.719263,552.0509,af,3400.7,1973.0,160.20000000000005,12.315855181023714
1060014230,577.104,430.29825,26.588573,18.67116,419.09726,af,5404.7,966.0,207.50999999999996,4.655197339887236
1060014370,412.5414,301.21362,9.021236,19.520552,412.1357,af,21323.4,2443.0,477.9300000000002,5.111627225744353
1060014380,516.0633,364.24722,22.86709,18.307024,422.7202,af,2669.4,1332.0,99.73,13.356061365687356
1060014490,502.30508,424.62204,36.12062,18.141375,499.72507,af,1184.8,1084.0,71.49,15.16295985452511
1060014500,546.82385,433.02487,38.07927,16.985258,445.4171,af,7381.5,1603.0,74.72,21.453426124196998
1060014920,448.09274,414.95743,28.062756,18.03675,421.16992,af,1664.0,1467.0,83.59,17.549946165809306
1060014930,445.2082,455.3951,41.49273,17.727304,535.8602,af,15664.1,2243.0,340.44,6.588532487369287
1060015030,539.07404,373.5376,31.663572,17.524721,392.15878,af,12586.6,1594.0,65.33,24.3992040410225
1060015390,410.07004,408.74982,40.40901,19.06953,466.52176,af,7797.6,1980.0,231.98,8.535218553323562
1060015400,272.7161,210.84344,11.381877,20.256462,351.21344,af,5267.0,1446.0,94.9,15.237091675447841
1060015560,191.8459,91.63042,2.9911191,20.843376,230.8526,af,680.4,406.0,34.029999999999994,11.9306494269762
1060015570,171.19818,124.91575,5.2608666,19.958168,277.52054,af,2911.8,544.0,57.35,9.48561464690497
1060015630,138.14915,130.47813,1.5841632,21.442324,391.70023,af,4739.9,1674.0,197.77,8.464377812610609
1060015640,123.585945,96.227165,2.4800954,20.741917,301.8651,af,5012.0,1233.0,76.29,16.162013370035393
1060015720,109.992966,88.39324,0.8042164,21.740639,414.6658,af,10168.2,1567.0,263.9,5.9378552482000755
